museum.type,museum.value,coord.datatype,coord.type,coord.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value
uri,http://www.wikidata.org/entity/Q3399790,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.483 50.358),en,literal,Bee-Farming Museum,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q743881,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.881944444 44.748611111),en,literal,Bakhchisaray Palace,en,literal,Bakhchysarai
uri,http://www.wikidata.org/entity/Q4111612,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(28.47666667 49.27138889),en,literal,Podilskyi Zoo,en,literal,Vinnytsia
uri,http://www.wikidata.org/entity/Q20075384,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.524166666 50.451944444),en,literal,Griffin Gallery,en,literal,Shevchenko Raion
uri,http://www.wikidata.org/entity/Q97189372,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.545423 47.09461),en,literal,Club IT 8-bit,en,literal,Mariupol
uri,http://www.wikidata.org/entity/Q3398686,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.520041 50.397279),en,literal,Yakubovsky Museum,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q3398672,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.51763889 50.44513889),en,literal,Kyiv History Museum,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q4084159,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(36.79458333 46.75444444),en,literal,Berdiansk Museum of Local Lore,en,literal,Berdiansk
uri,http://www.wikidata.org/entity/Q1189277,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.53111111 50.44944444),en,literal,National Art Museum of Ukraine,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q16702056,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.259444444 44.965),en,literal,Dolphinarium in Koktebel,en,literal,Koktebel
uri,http://www.wikidata.org/entity/Q25444302,,,,uk,literal,Дельфінарій «Акварель»,en,literal,Alushta
