item.type,item.value,image.type,image.value,itemLabel.xml:lang,itemLabel.type,itemLabel.value,typeLabel.xml:lang,typeLabel.type,typeLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value,creatorLabel.xml:lang,creatorLabel.type,creatorLabel.value,collectionLabel.xml:lang,collectionLabel.type,collectionLabel.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,name_norm,creator_norm
uri,http://www.wikidata.org/entity/Q468636,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Lw%C3%B3w%20-%20kopiec%20Unii%20Lubelskiej.jpg,en,literal,Union of Lublin Mound,en,literal,monument,,,,,,,,,,,,,union of lublin mound,
uri,http://www.wikidata.org/entity/Q682006,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20arms%20of%20Zakarpattia%20Oblast.svg,en,literal,coat of arms of Carpathian Ruthenia,en,literal,coat of arms,,,,,,,,,,,,,coat of arms of carpathian ruthenia,
uri,http://www.wikidata.org/entity/Q431230,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Zasluhy-1.jpg,en,literal,Order of Merit,en,literal,order of merit,,,,,,,,,,,,,order of merit,
uri,http://www.wikidata.org/entity/Q199433,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20Arms%20of%20Ukraine%20%28Pantone%29.svg,en,literal,Coat of arms of Ukrainiae,en,literal,national coat of arms,,,,,,,,,,,,,coat of arms of ukrainiae,
uri,http://www.wikidata.org/entity/Q153101,,,en,literal,Magtymguly monument,en,literal,monument,,,,,,,,,,,,,magtymguly monument,
uri,http://www.wikidata.org/entity/Q31266,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Za%20vryatovane%20zhyttya.jpg,en,literal,Medal for Lifesaving,en,literal,medallion,,,,,,,,,,,,,medal for lifesaving,
uri,http://www.wikidata.org/entity/Q1993260,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Izbornik%20page.jpg,en,literal,Svyatoslav's Miscellanies,en,literal,Church Slavonic manuscript,,,,,,,en,literal,State Historical Museum,,,,svyatoslavs miscellanies,
uri,http://www.wikidata.org/entity/Q1988140,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20Arms%20of%20Odesa%20%28UHT%29.svg,en,literal,coat of arms of Odesa,en,literal,local coat of arms,,,,,,,,,,,,,coat of arms of odesa,
uri,http://www.wikidata.org/entity/Q2332353,,,en,literal,coat of arms of Poltava Oblast,en,literal,coat of arms,,,,,,,,,,,,,coat of arms of poltava oblast,
uri,http://www.wikidata.org/entity/Q2473104,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Shevchenko%20National%20Prize%20badge.png,en,literal,Shevchenko National Prize,en,literal,cultural prize,,,,,,,,,,,,,shevchenko national prize,
