museum.type,museum.value,coord.datatype,coord.type,coord.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value
uri,http://www.wikidata.org/entity/Q12105396,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(22.3067 48.6217),en,literal,Transcarpathian Local History Museum named after Tivadar Lehoczky,en,literal,Uzhhorod
uri,http://www.wikidata.org/entity/Q84571237,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(28.466944 49.233333),uk,literal,Музей моделей транспорту,en,literal,Vinnytsia
uri,http://www.wikidata.org/entity/Q538095,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(28.67758333 50.253),en,literal,Sergei Pavlovich Korolyov Museum of Cosmonautics,en,literal,Zhytomyr
uri,http://www.wikidata.org/entity/Q12168437,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.48242 50.4218),en,literal,Central State Audiovisual and Electronic Archive of Ukraine,,,
uri,http://www.wikidata.org/entity/Q65200771,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(36.330833 49.128056),uk,literal,Краснопавлівський народний краєзнавчий музей,en,literal,Krasnopavlivka
uri,http://www.wikidata.org/entity/Q2621094,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(34.12056 44.94278),en,literal,Scythian Neapolis,en,literal,Simferopol
uri,http://www.wikidata.org/entity/Q4482814,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.3829 45.0314),en,literal,Feodosia local museum,en,literal,Feodosiia
uri,http://www.wikidata.org/entity/Q61115647,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.865540867 49.365746225),en,literal,Slobozhanske museum of local history,en,literal,Slobozhanske
uri,http://www.wikidata.org/entity/Q111974612,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(24.610401641 49.408640774),uk,literal,Рогатинський історико-краєзнавчий музей «Опілля»,en,literal,Rohatyn
uri,http://www.wikidata.org/entity/Q4155883,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(24.02933 49.84255),en,literal,State Museum of Natural History,en,literal,Lviv
uri,http://www.wikidata.org/entity/Q1982073,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.50493889 50.39384722),en,literal,Museum of Soviet Occupation,en,literal,Mykhaila Stelmakha Street
uri,http://www.wikidata.org/entity/Q20092833,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.52111111 44.61472222),uk,literal,Севастопольський дельфінарій,en,literal,Sevastopol
uri,http://www.wikidata.org/entity/Q4173048,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.37016667 45.18700833),en,literal,Eupatoria local museum,en,literal,Yevpatoriia
uri,http://www.wikidata.org/entity/Q2093814,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.4658823 50.4507565),en,literal,Kyiv Metro Museum,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q15268553,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(36.27042222 49.98975556),en,literal,Museum of Famous Kharkiv Citizens,en,literal,Kharkiv
uri,http://www.wikidata.org/entity/Q16700961,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.201666666 44.911944444),en,literal,Kara-Dag dolphinarium,en,literal,Kurortne
