site,wkt
https://linked4resilience.eu/data/cultural-sites/00144,POINT(38.3803295767 48.6305027235)
https://linked4resilience.eu/data/cultural-sites/00187,POINT(30.732881996 46.4843410061)
https://linked4resilience.eu/data/cultural-sites/00198,POINT(30.738101921 46.4870208614)
https://linked4resilience.eu/data/cultural-sites/00107,POINT(37.9706686329 49.0286268684)
https://linked4resilience.eu/data/cultural-sites/00090,POINT(35.18534787 47.8206534556)
https://linked4resilience.eu/data/cultural-sites/00091,POINT(37.5675698405 49.0283046361)
https://linked4resilience.eu/data/cultural-sites/00075,POINT(36.1979802865 49.9828704307)
https://linked4resilience.eu/data/cultural-sites/00081,POINT(37.29873692 49.2201443375)
https://linked4resilience.eu/data/cultural-sites/00123,POINT(38.0016303258 48.597159328)
https://linked4resilience.eu/data/cultural-sites/00038,POINT(30.5144519234 50.4412806961)
https://linked4resilience.eu/data/cultural-sites/00192,POINT(30.7350815808 46.4881862317)
https://linked4resilience.eu/data/cultural-sites/00104,POINT(37.5482178414 47.1005382464)
https://linked4resilience.eu/data/cultural-sites/00066,POINT(37.2767068554 49.1966049243)
https://linked4resilience.eu/data/cultural-sites/00040,POINT(30.5149216983 50.4423185933)
https://linked4resilience.eu/data/cultural-sites/00148,POINT(38.4832912271 48.9525644351)
https://linked4resilience.eu/data/cultural-sites/00195,POINT(30.7398474504 46.4873544993)
https://linked4resilience.eu/data/cultural-sites/00194,POINT(30.7358285582 46.4879761919)
https://linked4resilience.eu/data/cultural-sites/00166,POINT(35.2065266979 50.4402830726)
https://linked4resilience.eu/data/cultural-sites/00175,POINT(32.789912 47.0696126)
https://linked4resilience.eu/data/cultural-sites/00097,POINT(37.6604149842 47.1003899989)
https://linked4resilience.eu/data/cultural-sites/00171,POINT(31.9902748528 46.9628951478)
https://linked4resilience.eu/data/cultural-sites/00139,POINT(38.4739567376 48.8591361193)
https://linked4resilience.eu/data/cultural-sites/00119,POINT(37.8046622085 48.0255476933)
https://linked4resilience.eu/data/cultural-sites/00064,POINT(36.2325151682 49.9922483137)
https://linked4resilience.eu/data/cultural-sites/00146,POINT(38.3941205294 48.9388884935)
https://linked4resilience.eu/data/cultural-sites/00046,POINT(30.5513573402 50.4091333172)
https://linked4resilience.eu/data/cultural-sites/00050,POINT(36.2388892137 49.9998013416)
https://linked4resilience.eu/data/cultural-sites/00036,POINT(29.8015555704 50.5198697505)
https://linked4resilience.eu/data/cultural-sites/00078,POINT(36.3191049963 50.0232993483)
https://linked4resilience.eu/data/cultural-sites/00151,POINT(38.5663920939 49.1070733119)
https://linked4resilience.eu/data/cultural-sites/00059,POINT(36.2299367416 49.9726796888)
https://linked4resilience.eu/data/cultural-sites/00063,POINT(36.2230208955 50.045349912)
https://linked4resilience.eu/data/cultural-sites/00160,POINT(34.8941341548 50.3051128602)
https://linked4resilience.eu/data/cultural-sites/00079,POINT(36.6982727486 49.8373302168)
https://linked4resilience.eu/data/cultural-sites/00092,POINT(37.4962908622 47.6562353184)
https://linked4resilience.eu/data/cultural-sites/00037,POINT(29.8119293386 50.4612599298)
https://linked4resilience.eu/data/cultural-sites/00058,POINT(36.4490430908 49.9357234687)
https://linked4resilience.eu/data/cultural-sites/00034,POINT(29.8011146728 50.4843464375)
https://linked4resilience.eu/data/cultural-sites/00048,POINT(36.2517001649 49.9885771272)
https://linked4resilience.eu/data/cultural-sites/00207,POINT(33.4676672138 47.4298397704)
https://linked4resilience.eu/data/cultural-sites/00202,POINT(32.6340715154 46.6376356368)
https://linked4resilience.eu/data/cultural-sites/00140,POINT(38.3996006079 48.648376123)
https://linked4resilience.eu/data/science-at-risk/00230,POINT(30.5392282798 50.3892533489)
https://linked4resilience.eu/data/science-at-risk/00221,POINT(30.3683372117 50.4726611431)
https://linked4resilience.eu/data/science-at-risk/00223,POINT(32.0173251555 46.972446129)
https://linked4resilience.eu/data/science-at-risk/00219,POINT(30.5167556957 50.4452285357)
https://linked4resilience.eu/data/science-at-risk/00233,POINT(36.1675222941 50.0014761931)
https://linked4resilience.eu/data/science-at-risk/00231,POINT(30.2269827674 51.267343217)
https://linked4resilience.eu/data/science-at-risk/00229,POINT(30.423125402 50.3440345278)
https://linked4resilience.eu/data/science-at-risk/00232,POINT(36.2417983026 50.0025489645)
https://linked4resilience.eu/data/science-at-risk/00222,POINT(35.37480601 46.8469513225)
https://linked4resilience.eu/data/science-at-risk/00228,POINT(30.4686130941 50.5009586218)
https://linked4resilience.eu/data/science-at-risk/00215,POINT(30.5627975 50.4149015)
https://linked4resilience.eu/data/science-at-risk/00217,POINT(36.2279125 50.0042158)
https://linked4resilience.eu/data/science-at-risk/00218,POINT(32.9340151347 46.681888538)
https://linked4resilience.eu/data/science-at-risk/00216,POINT(34.7778118 50.8816948)
https://linked4resilience.eu/data/science-at-risk/00224,POINT(36.2324829957 49.9916380034)
https://linked4resilience.eu/data/science-at-risk/00220,POINT(36.2930594861 50.0461480658)
https://linked4resilience.eu/data/science-at-risk/00227,POINT(32.6346344765 46.6465912311)
https://linked4resilience.eu/data/science-at-risk/00225,POINT(36.7860405121 46.7549690412)
https://linked4resilience.eu/data/science-at-risk/00214,POINT(31.3358054 51.5028725)
https://linked4resilience.eu/data/science-at-risk/00212,POINT(36.221972 50.032554)
https://linked4resilience.eu/data/science-at-risk/00226,POINT(35.2775582799 47.4475719597)
https://linked4resilience.eu/data/science-at-risk/00213,POINT(36.244112 50.0002266)
